"Product Id",Message,GTIN,Brand,"Product Code"
,,,,
1,"Product(s) ids 1 with missing GTIN, Brand and Product Code",,,
2,"Product(s) ids 2 with missing GTIN, Brand and Product Code",,,
3,"Product(s) ids 3 with missing GTIN, Brand and Product Code",,,
4,"Product(s) ids 4 with missing GTIN, Brand and Product Code",,,
5,"Product(s) ids 5 with missing GTIN, Brand and Product Code",,,
6,"Product(s) ids 6 with missing GTIN, Brand and Product Code",,,
7,"Product(s) ids 7 with missing GTIN, Brand and Product Code",,,
8,"Product(s) ids 8 with missing GTIN, Brand and Product Code",,,
9,"Product(s) ids 9 with missing GTIN, Brand and Product Code",,,
10,"Product(s) ids 10 with missing GTIN, Brand and Product Code",,,
11,"Product(s) ids 11 with missing GTIN, Brand and Product Code",,,
12,"Product(s) ids 12 with missing GTIN, Brand and Product Code",,,
13,"Product(s) ids 13 with missing GTIN, Brand and Product Code",,,
14,"Product(s) ids 14 with missing GTIN, Brand and Product Code",,,
15,"Product(s) ids 15 with missing GTIN, Brand and Product Code",,,
16,"Product(s) ids 16 with missing GTIN, Brand and Product Code",,,
17,"Product(s) ids 17 with missing GTIN, Brand and Product Code",,,
18,"Product(s) ids 18 with missing GTIN, Brand and Product Code",,,
19,"Product(s) ids 19 with missing GTIN, Brand and Product Code",,,
20,"Product(s) ids 20 with missing GTIN, Brand and Product Code",,,
21,"Product(s) ids 21 with missing GTIN, Brand and Product Code",,,
22,"Product(s) ids 22 with missing GTIN, Brand and Product Code",,,
23,"Product(s) ids 23 with missing GTIN, Brand and Product Code",,,
24,"Product(s) ids 24 with missing GTIN, Brand and Product Code",,,
25,"Product(s) ids 25 with missing GTIN, Brand and Product Code",,,
26,"Product(s) ids 26 with missing GTIN, Brand and Product Code",,,
27,"Product(s) ids 27 with missing GTIN, Brand and Product Code",,,
28,"Product(s) ids 28 with missing GTIN, Brand and Product Code",,,
29,"Product(s) ids 29 with missing GTIN, Brand and Product Code",,,
30,"Product(s) ids 30 with missing GTIN, Brand and Product Code",,,
31,"Product(s) ids 31 with missing GTIN, Brand and Product Code",,,
32,"Product(s) ids 32 with missing GTIN, Brand and Product Code",,,
33,"Product(s) ids 33 with missing GTIN, Brand and Product Code",,,
34,"Product(s) ids 34 with missing GTIN, Brand and Product Code",,,
35,"Product(s) ids 35 with missing GTIN, Brand and Product Code",,,
36,"Product(s) ids 36 with missing GTIN, Brand and Product Code",,,
37,"Product(s) ids 37 with missing GTIN, Brand and Product Code",,,
38,"Product(s) ids 38 with missing GTIN, Brand and Product Code",,,
39,"Product(s) ids 39 with missing GTIN, Brand and Product Code",,,
40,"Product(s) ids 40 with missing GTIN, Brand and Product Code",,,
43,"Product(s) ids 43 with missing GTIN, Brand and Product Code",,,
